Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
134A,Thiruvottiyur,Mogappair West,,,,
138A,Thiruvottiyur,Periyar Nagar,"Tondiarpet, Mint, Basin Bridge, Vyasarpadi, Moolakadai, TVK Nagar",,,
13A,T.Nagar,Triplicane,"Zambazzar, Express Avenue, Royapettah, Gopalapuram playground, Sapphire, LFC, Vanimahal",,,
13B,T. Nagar,Anna Square,"Triplicane, Zambazzar, Express avenue, Royapettah, Gopalapuram playground, Sapphire, Teynampet, Pondy Bazzar",,,
142,Perambur,Vinayagapuram,,,,
142B,Broadway,Peravallur Kumaran Nagar,,,,
142P,Broadway,Puthagaram,,,,x
147,T.Nagar,Madhavaram,"Moolakadai, Retteri, Thirumangalam, Rountana, Loyola College, Mahalingapuram, Panagal park",,,x
147A,T.Nagar,Mugappair East,Anna Nagar,,,
147B,T.Nagar,Mugappair West,Anna Nagar,,,
147C,T.Nagar,Ambattur O.T.,"Collector Nagar, Blue Star, Anna Hospital, Loyalla College, Sterling Road, Valluvar Kottam",x,,
147Cxt,T.Nagar,Ayapakkam,Ambattur I.E,,,x
147S,T.Nagar,Senthil Nagar,"Thirumullaivoyil, Ambattur OT, Collector Nagar, Roundtana, Loyallo College, Valluvar Kottam",,,
147T,T.Nagar,Mathur MMDA,"Madhavaram, Moolakadai, Retteri, Thirumangalam, Rountana, Loyola College, Mahalingapuram, Panagal park",,,x
15,Broadway,Anna NagarWest,,,,
150,Broadway,Avadi,"Central, Dasaprakash, KMC, Amijikarai, Arumbakkam, Koyambedu, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi, Thiruverkadu, Govardhangiri, Avadi Market",,,x
151,High Court,Vengaivasal P.H. Centre,"Secretariat, Marina Beach, Santhome, Adyar, Anna university, Velachery, Pallikkaranai, Medavakkam, Kamarajapuram, Rajakeelpakkam, Madambakkam",,,
151A,High Court,Noothancherry,"LIC, DMS, Saidapet, Velachery, Pallikkaranai, Medavakkam, Kamarajapuram, Rajakeelpakkam, Madambakkam",,,
152B,Hasthinapuram,High Court,"Chrompet, Pallavaram, Guindy, Adayar B.S, Mandaveli, Mylapore, LUZ, QMC, V.House, Secretariat",,,x
153,Broadway,Thirumazhisai,"Central R.S, KMC, Madhuravoyal, Poonamallee",,,
154,T. Nagar,Pattur,"Mangadu, Iyyapanthangal, Porur, Ramapuram, St.Thomas Mount, Guindy, Saidapet",,,
154A,Thirunindravur,T. Nagar,"Kosavapalayam, Pudhuchatiram, Vellavedu, Thirumazhisai, Poonamallee, Kumananchavadi, Iyyapanthangal, Porur, Guindy, Saidapet",,,
154B,Poonamallee,Nanganallur,"Kumanachavadi, Porur, Guindy,St.Thomas Mount,Vanuvampet",,,
154E,Vellavedu,Ekkaduthangal,"Poonamallee, Kumananchavadi, Porur, Guindy",,,x
155A,Thirumudivakkam,Broadway,"Thiruneermalai, Nagakeni, Pallavaram, Guindy, Saidapet, DMS, LIC, Central R.S",,,x
156,Thiruvotriyur,Karanodai,,,,
157E,Red Hills,Ennore,"Puzhal, Moolakadai,Sharma Nagar, M.K.B Nagar, Korukkupettai, Tondaripet, Tollgate, Theradi, Thiruvottiyur",,,
159,Thiruvottiyur,Thiruverkadu,"Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Koyambedu, Nerkundram, Maduravoyal, Velappanchavadi",,,
159A,Thiruvotriyur,CMBT,"Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",x,x,
159B,Tollgate,CMBT,"Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",,,
159C,Thiruvottiyur,Koyambedu Market,"Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",,,
159D,CMBT,I.O.C,"Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",,,x
159E,CMBT,Ennore,"Ashok Leyland, Ernavoor Gate, Thiruvottriyur, Therady, Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",,,
